Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
1464,1,Действующий очаг,2017,17.8405304,11.8550663
1465,2,Возникающий очаг,2017,47.6018295,175.2428589
1466,3,Действующий очаг,2017,48.658123,95.7104034
1467,4,Действующий очаг,2017,239.1686554,595.8671265
1468,5,Без признаков поражения,2016,1829.5410156,3685.0986328
1469,6,Возникающий очаг,2016,457.1250916,860.9038696
1470,7,Без признаков поражения,2016,331.1167908,606.1085205
1472,8,Действующий очаг,2010,56.0226669,93.8067093
1473,9,Действующий очаг,2010,28.8614998,41.792614
1474,10,Действующий очаг,2010,213.0391846,410.3568115
1475,11,Действующий очаг,2017,800.6907959,1562.5881348
1476,12,Вырублено,2017,75.4476471,134.2296295
1477,13,Затухающий очаг,2017,113.066803,209.0085907
1478,14,Действующий очаг,2016,52.7313499,89.4835587
1479,15,Действующий очаг,2011,13.4725714,10.9935017
1480,16,Действующий очаг,2011,174.0173187,332.4803162
1481,17,Возникающий очаг,2017,218.6533356,419.3405457
1482,18,Возникающий очаг,2017,549.644165,1087.8337402
1483,19,Без признаков поражения,2017,517.8858032,1022.8815308
1484,20,Возникающий очаг,2017,645.2944946,1269.2674561
1485,21,Возникающий очаг,2017,167.0222778,318.1387634
1486,22,Действующий очаг,2017,89.2508469,162.3723145
1487,23,Вырублено,2017,102.8201065,189.5106201
1488,24,Действующий очаг,2017,159.3097382,305.7572632
1489,25,Возникающий очаг,2011,153.9848633,293.733551
1490,26,Действующий очаг,2017,354.7444153,698.9480591
1491,27,Возникающий очаг,2017,175.7189484,338.4080505
1492,28,Без признаков поражения,2011,619.3853149,1227.069458
1493,29,Без признаков поражения,2017,236.0099335,451.2767639
1494,30,Действующий очаг,2017,620.9130859,1218.769165
1495,31,Затухающий очаг,2011,242.412735,466.718689
1496,32,Действующий очаг,2011,274.181366,531.8197021
1497,33,Действующий очаг,2011,479.8252869,941.6119385
1498,34,Возникающий очаг,2011,51.8093605,87.1662369
1499,35,Возникающий очаг,2011,86.6690674,157.9735107
1500,36,Действующий очаг,2017,1109.6916504,2201.4150391
1501,37,Действующий очаг,2017,736.3242798,1464.1875
1502,38,Действующий очаг,2011,189.2644653,358.7666016
1503,39,Действующий очаг,2011,61.642437,107.5890579
1504,40,Действующий очаг,2011,476.9184265,927.8625488
1505,41,Действующий очаг,2017,547.2161865,1075.5081787
1506,42,Без признаков поражения,2015,379.059082,745.9802246
1507,43,Действующий очаг,2017,216.2435608,417.725647
1508,44,Возникающий очаг,2017,610.633667,1208.696167
1509,45,Без признаков поражения,2011,250.4093933,486.4414063
1510,46,Возникающий очаг,2011,155.5759735,297.4138794
1511,47,Действующий очаг,2012,132.6398926,250.1146393
1512,48,Возникающий очаг,2016,130.4613342,245.8942871
1513,49,Без признаков поражения,2012,62.5355339,108.4387894
1514,50,Возникающий очаг,2012,468.4945984,914.7321777
1515,51,Без признаков поражения,2012,412.4129639,809.418396
1516,52,Действующий очаг,2013,293.6751709,565.2976074
1517,53,Действующий очаг,2013,224.395752,434.2860413
1518,54,Без признаков поражения,2015,629.7869263,1238.3476563
1519,55,Действующий очаг,2017,358.259613,706.9251099
1520,56,Действующий очаг,2017,87.3382874,158.8698578
1521,57,Действующий очаг,2016,82.5889206,148.7133484
1522,58,Возникающий очаг,2014,114.2992172,211.5838165
1523,59,Действующий очаг,2017,633.2173462,1254.1060791
